생활지역권,남자20대이하,남자30대,남자40대,남자50대,남자60대,여자20대이하,여자30대,여자40대,여자50대,여자60대
가락,12.269606455968875,5.786495624419349,6.106138490680113,5.361049003367422,3.8151372957104037,11.226816958311943,6.043916828313459,6.294987368624141,6.381201776709947,5.088285823305345
가산,6.418084604338486,8.988348557952582,7.69622727093721,4.8264443000848685,2.0385055583704905,6.771922101142368,5.77114714767255,3.8778618807881986,2.9351906250384885,1.5111787012776643
가좌,6.980557841256188,2.5756132005404253,3.0398724326992888,2.547979988180728,1.869513715739813,7.614992004480533,3.2522211622846147,3.6105343904744074,3.2268703953401974,2.640833321665816
강일.상일,6.863131273999799,3.068011583886957,3.708836341679136,2.6638673427358985,2.046713331979825,6.573893036253224,3.6475792191121763,3.734242067551714,3.002295497957812,2.715755906310791
개포.일원,6.842414692029021,3.0135179427770153,3.577842868686466,3.350584106531302,2.362305703621306,5.66692755523871,3.0513836114489443,3.6124191698719197,3.116532478960412,2.922818252461918
거여.마천,4.212413878216263,1.8779861564064344,2.218500388436477,2.2946432892049713,1.7927421429943464,3.529610462158906,1.9168168038714481,2.3882294661911456,2.6859832540164903,2.5154621150982024
고척.개봉,8.902497207168077,3.3404151891963845,3.821415920533133,3.6536545724128473,2.940832739551361,8.18674064805091,3.5587652626315105,4.164663409547656,4.510713027863662,4.381684480918953
공릉,10.040049989334326,2.8704582567692962,3.2111663859778745,2.968894783089071,2.3031939147538174,8.981600988227717,3.1221079901539386,3.6321164315783765,3.631470484955523,2.9499708903342885
공항.방화,9.39878160211533,5.6226418568157905,5.625165693207966,4.755423373701425,3.4156624159217777,8.91842125439004,5.514849463882707,4.766296208672593,4.3692400144557135,3.698522970784022
구로디지털단지,5.652730849372383,6.429888353825457,6.225285176642011,4.131584492414732,2.0369379259840175,6.125005603667588,4.938834517336793,3.763952268493607,3.0621687103042006,2.0727101961131744
구로신도림,9.550647134433792,6.195804579872878,6.475395337534053,5.602110780772041,3.6149816832438346,10.27935401525513,6.376626148807486,6.0722402704374945,5.694985095764015,4.266269299631727
구의,9.974681483843652,4.336858564877224,4.8343103748713006,4.133057484481577,2.7806469318920795,11.408569003124313,4.64674670081149,5.6610626705249985,4.856799279465089,3.5965958516983343
금호.옥수 ,5.920327902996441,2.8275559369571694,3.061296993230673,2.554154063337404,1.9187179062402375,6.054604119433509,3.775140453207456,3.7920669794687876,3.1634115140677843,2.985858393114118
