생활지역권,남자20대이하,남자30대,남자40대,남자50대,남자60대,여자20대이하,여자30대,여자40대,여자50대,여자60대
가락,11.578848652461003,5.535707545969743,5.9215539330842395,5.433306291777183,3.9465324620332063,11.123932877366316,6.119078657621935,6.3975042085566445,6.591305289117588,5.095834792658684
가산,3.09493665013316,3.2567160393224728,2.311229793179274,1.7122605100127923,0.9070727261573758,3.0858983266439,2.043771936431557,1.110052912196709,1.0467934745542442,0.73208536350793
가좌,7.949325961620423,4.001698778860813,4.67335761518853,3.5878065817875253,2.4678297754066567,9.222610570924935,4.575771738924238,4.65309183507092,4.036221051401877,3.1227092655637896
강일.상일,7.485695117618264,3.8823192825267294,4.823999842963151,3.167587857830893,2.546520055904858,7.427836786048797,4.662506480288811,4.738558819553805,3.7087098792222766,3.4081669338254144
개포.일원,6.371065877822757,3.0509435483978664,3.6645634188779788,3.241561743031801,2.3909163953006645,5.621040713657326,3.4157542518576087,4.093680795310242,3.4460155187414774,3.3160514180007166
거여.마천,5.212892523538219,2.7858798039310435,3.044825380699308,3.070836693256181,2.279177647597327,4.975729053513279,2.816682056538242,2.9975824188085767,3.3940754748314004,3.0067372647507415
고척.개봉,10.45615570564735,5.199138053964564,5.757729359055095,5.0777673343521155,4.005609885413004,10.551635368126872,5.276939237408977,5.589409814540576,6.026855066088278,5.232343706042094
공릉,10.549919124674476,3.492930606308541,3.933349914110451,3.335906223601075,2.594184149096447,9.69569895297952,3.6258026803148593,3.981621520361402,3.9686160141980387,3.2389369820915164
공항.방화,9.697152180029791,5.973365584123223,5.777022320251152,4.559344343405609,3.450125524014632,9.155649115033393,5.8144465547879625,4.859385647094158,4.413043522463668,3.7689581328424793
구로디지털단지,4.06151808183315,3.82598484816404,3.7760597495999035,3.0676942372605738,1.819869673361806,3.9140050877757493,2.924444945536797,2.5660353729713195,2.5963958699112193,2.0147969786096795
구로신도림,8.782176031217965,6.172530256101752,6.160126688656857,5.157853249235351,3.256956382103527,9.462798114176685,6.18971546242851,5.565053555287574,4.974650596817221,3.8692275201640953
구의,11.022695088403333,4.9731033738332355,5.99466192213774,5.1890064133057505,3.1018565811496543,12.559005227317689,5.779209451689343,6.920161606929401,5.665811819498859,3.8890435789163056
금호.옥수 ,6.436047151109688,4.2494617720268435,4.272968661347362,3.279864762523843,2.1490828901538044,6.493556162557366,5.107083651241445,4.774496477323726,3.5881027741311833,3.0952985614534705
길동.둔촌,7.939088505282676,4.009328942273552,4.127268227894955,3.836584766519863,2.9828977227915914,7.478885604956606,4.166134576048584,4.1840174085642055,4.52223986915996,3.863823238456309
길음,7.879333846106117,2.6683379328435524,4.0605751756240975,3.005061969160693,1.9421901579392629,8.459700351625704,3.389111318844519,4.554812876963521,3.4274725278135603,2.5139385102627916
낙성대,12.852286708541463,7.357723137010548,4.810471853233481,3.8010742856680175,2.6183634730591936,13.216924140501584,6.951683029241658,4.562860340877993,4.2621093706312045,3.474323754746982
난곡,10.045629978429089,6.090932382766209,5.620700905762546,4.586808153651629,3.0928526902274407,11.382179671853178,5.593608211989434,4.800362177867128,4.902347647856192,3.908575406326366
노량진,10.65727928696821,5.746577035808941,4.572146381732391,3.9979873611597836,2.5835005682275063,9.993833117311459,4.8055400423446715,4.306439682937639,4.083026848290459,3.3052270514200592
노원,7.338536237272656,3.3005956615254455,3.543338588941227,3.5899541027783677,2.5548243839213263,7.778774202222895,3.6656042668274655,4.031477953787237,4.579288162936529,3.2291299827795457
당산,5.562690332018636,4.335589933481732,3.1842097442042365,2.3718493375134053,1.416075678399907,6.522925633394318,4.543168813663628,2.751890096138508,2.241745607330708,1.6487728282725496
대림,3.8792854242270423,3.479042509523824,3.282053893343536,3.6494293322890154,2.357641766280642,4.115574705203666,3.3026462918760635,2.825347367272959,3.5229836647675534,2.596809891183618
대치.도곡,18.08035354718155,5.714077394495331,9.399521635602495,7.886712888318048,3.9678509860113564,17.77864451891688,6.652939825516984,11.230680717087616,7.097262867816291,4.805931345368355
대학,8.861457473480336,5.162740540955891,3.898322154173743,3.077533237091579,1.9399879791117378,7.288662543662589,3.2262728881438005,2.4633673751657845,2.7328993730058677,2.3622984034506183
도봉,3.0274146024870645,1.4040545751292364,1.6668460556884632,1.7011589227157249,1.576844392601198,2.824377747399639,1.455094726809187,1.5639161295524342,1.9036050052348559,1.9027384342437355
독산,6.299654740199977,5.309686211160341,4.26573144241901,3.895480202605883,2.7494081020843546,6.629331362209484,4.564135204184311,3.4085071509856015,4.124887191813618,3.087736050263859
마곡,7.135166827303362,5.345192759880931,4.363479915146705,3.4263567899673046,2.6076223661128393,8.45447335804046,5.393708604443705,3.863249832419434,3.5007030318939125,2.912806908513765
마들,7.65396209466427,3.4434748670040336,3.4859551504718276,3.4142733467246433,2.5816130935668817,7.634253112572573,3.9396871516674614,4.115608253111989,4.192343813281065,3.6047963089831314
마장.용답,7.44854730082482,2.886041421173926,2.542803548140738,2.423268141246577,1.5245138311259845,7.371512008681904,2.838444233234501,2.2170998081954476,2.237791054211418,1.6974230045971186
면목,11.466846745727969,6.789355507350753,6.74324183875158,6.778946375581182,4.861133778156298,11.761763562988534,6.842620994591823,6.626232061385032,7.546678469863909,6.095997331417297
명일.고덕,9.051086501565413,3.0518244853144303,4.447580723043895,3.575320273324357,2.5264969880945753,8.106964391319874,3.712298083014247,4.7278233475035805,3.7280061729849305,2.994420178643488
목동1,6.565777860005562,3.2173779107137404,2.958221674590792,2.8262006216584594,1.7558783769892896,6.323890609488285,3.686123358583533,3.320200626446909,3.2871261707930537,2.293551749040978
목동2,15.067090179747424,3.87925679149347,7.742146502733348,6.022805886599855,3.4995376927897155,14.38881782717801,4.961301591814212,9.085844542490415,6.203703121184362,4.10872489145429
문정,12.1259607449103,7.387294034636078,7.259542757481367,5.224454001513835,3.512900521215743,12.209530540776854,8.00665968549594,6.702599218708346,5.5130525784418305,4.16048217414489
미아,5.895013214029433,2.88966208114762,3.051596189323055,3.3204568918321904,2.3631717673037307,6.124132387411019,2.834187670520567,3.0110909056616357,3.6401411363490666,3.064910236807517
반포,12.35842614798692,5.501992638148239,8.70062895618819,6.2889273542990125,3.1386260898796654,13.180654543858523,6.358280503498679,8.985672422464495,5.593950502574337,4.03386648524329
발산,8.985664360874067,3.493292496081397,4.502201482782007,3.4875787943604393,2.34701260947253,9.264565279550263,3.8023304030056218,4.842459745510892,3.650453537414913,3.050293914317805
방배,9.527676694882548,4.612797245482351,5.534462303732444,4.6317597888110535,3.1431243069162433,10.846889012382654,5.544518254874302,6.1558872130537425,5.226838277302922,4.041886851256144
방학,5.277728214831285,2.3361757107481016,2.5834782307146056,2.8268920959947827,2.3433984583567624,4.780118294266049,2.2209036901382126,2.6964077005180607,3.3089801301319905,2.901559496961077
번동,2.5694858038014288,1.1798313078986487,1.404158743584918,1.4983706229562428,1.1328475054929295,2.6108926287133367,1.1569504157146104,1.5522803396873552,1.7175477170447937,1.5870801133925123
봉천,11.803835599832874,6.691184885560666,5.508222111945531,3.9062054019022554,2.7016066246752994,13.67130758411218,6.3432673546859535,4.790819014804513,4.529099175157433,3.708127721571644
불광,7.856727937567467,4.59159166157031,4.204734545725352,4.082711205750211,3.0595278168488473,8.102281712811923,4.738214343906599,4.598820125159437,5.136790840223099,4.080829818390188
사당,8.754727222552328,5.589339316561173,4.9664255529760055,4.053502330438412,3.140754102718988,9.59120334545168,6.010346645650267,4.8778659671882885,4.759514775371338,4.296543035946796
삼각산,7.156088371459011,3.296641904452278,4.365661001762266,3.9862394794100204,2.760622166696819,7.770203551394655,3.5910307059376545,4.538094025808976,4.415126862983911,3.4727899501691617
삼성,4.792472542909224,3.1021673438073485,3.6216789790730366,2.3685894134843655,1.158982439521087,4.668420386076615,3.000654615867943,3.3127077965529246,2.115723458759741,1.3969339697555283
상계,3.7342610756295986,1.6000805820779778,1.9207223210433295,2.1252412005437695,1.7228118487922053,3.859980632283712,1.607814167587428,2.0451084778380353,2.5843466386674474,2.2424319219632305
상도,12.215980593890572,5.882395712440002,5.4789876384128595,4.230714313959455,3.1784463019739584,12.769143765348241,6.454012437286834,5.568229701398752,5.404529733022731,4.432959563779026
상암,3.766878538065041,1.8781422165116701,2.480085727526428,1.796194914091106,0.9381175764417143,3.8358608980893085,1.8751860000321428,2.265639790426859,1.4431764801928397,1.0194288257186563
서초,12.148887701883927,6.981376079341037,8.265039557481153,5.863104607798408,3.3478693574354756,12.546111655412846,7.6562888203708255,7.525147246068404,5.486641913109655,3.724705751570035
석촌,8.107048329023632,6.273700525868361,5.366399506043192,4.1646071792496935,2.7885209519072696,9.261318913700194,6.949283356721843,5.129374938823585,4.510949799282831,3.631882218676889
성북.동선,13.676468965987667,5.273076952413432,5.067188651818156,4.793744437469932,3.1161309955703964,16.348193940736895,5.714952040519377,5.655109881973529,5.4760035009887735,3.8928141700908294
성산,8.20131650880048,5.3141491948275,5.311136432234835,3.740154452843122,2.242128820874542,10.043124919595149,6.568607404137965,5.589589063610112,4.248206845261394,2.963944660332021
성수,7.104950881089686,5.022076406460569,4.535374668037441,4.027706037617035,2.6885867258834444,7.36489218215594,4.720658378621593,3.5560080445581552,3.754726142908462,2.700852053558656
