생활지역권,남자20대이하,남자30대,남자40대,남자50대,남자60대,여자20대이하,여자30대,여자40대,여자50대,여자60대
가락,11.421180157483988,5.60980488173827,6.07394113889652,5.577649919810661,4.023332962445139,10.807861446442786,6.098086340697779,6.502938353345062,6.68230069276008,5.172944600907596
가산,3.9835793071657335,4.696177210352635,3.8023000340845923,2.5250167217556636,1.18735549914169,3.882403186079042,2.7768232593927693,1.795957775848698,1.5910090993386892,0.9642476074632533
가좌,7.5644096478638225,3.5058965139240867,4.213802297432699,3.3729482390893843,2.388480716627058,8.425413626549373,4.257333967727494,4.443852647480013,3.890733037531572,3.094135609880483
강일.상일,6.792870950765173,3.3876591219931953,4.177783930572757,2.817804930381761,2.2646513071125907,6.539046120492242,4.218602758453405,4.251331556591019,3.3041390933608006,3.052527864852152
개포.일원,5.814914178648549,2.741103217769176,3.4124068732076314,3.024147232658931,2.2080793664740317,5.130959304982627,3.032492020685147,3.74791505516502,3.1556205942689624,2.9622165806980214
거여.마천,4.666200648704817,2.3781937863909444,2.6856458166176846,2.7691360528553433,2.1104622907584845,4.2981794481306315,2.4554061709860098,2.7643267806978025,3.1077176839109093,2.844827403774646
고척.개봉,9.679519167106964,4.63044525565386,5.173539767258751,4.698891649212891,3.7359863327256986,9.38679698618649,4.822400220079021,5.147444671814218,5.559224389056195,4.995642615547462
공릉,10.010524528460067,3.295008770298594,3.797805840057748,3.3236609803722943,2.567869909520026,8.892130722017862,3.4922912138481728,3.8947995166942557,3.904422847791956,3.1885536165390924
공항.방화,9.077269279379058,5.654032330710251,5.565544706691864,4.528823176093813,3.428183499044041,8.699875268335305,5.4770783976282145,4.744228900946157,4.331015299737365,3.802948111254528
구로디지털단지,4.610744849372042,4.658255790757899,4.598445352699168,3.5223630571274227,1.941424470812338,4.565237394530707,3.399968192790977,2.8935087071574164,2.691004978243137,2.009210048475129
구로신도림,9.291842116429777,6.5883813517042,6.479480898913302,5.4408774837450515,3.438425991137667,10.164800977623866,6.460337908831167,5.8042532948854655,5.27357233718201,4.023195830315205
구의,10.45007445832603,4.751245085456721,5.600418854227404,4.889615672431547,3.0335222777068718,11.84782600776407,5.372117813325403,6.499755400996442,5.350712923651886,3.7300974568828225
금호.옥수 ,6.382570842184716,4.0000737993731095,4.094091612227643,3.2455041878320174,2.18129147461018,6.598135714474934,4.974741476172297,4.577236575484403,3.5403525585979705,3.148048353711399
길동.둔촌,7.419542147006968,3.680134861155086,3.9196193055159694,3.719991689308855,2.9760908011905465,6.712028957509535,3.8169124105233134,4.050554075730054,4.420766762573535,3.879988785903619
길음,7.476816115905872,2.501003494555485,3.5713328867033414,2.8325630925935825,1.9076404386939927,8.038012788581021,3.2807763889862613,4.354408696362992,3.411911869240777,2.553412745945305
낙성대,11.572887484379178,6.557297058466233,4.517652902031367,3.5753032395015327,2.539546792652571,12.02748881467408,6.2373447213856705,4.244192595753545,4.086024030529595,3.2915529132528136
난곡,8.61398328801369,5.294806285673476,5.2017874358733325,4.332517095298159,2.9665163838665958,9.488278996387853,4.913045162043837,4.409555572703891,4.624177129089846,3.7162609964593596
